기간	자치구	총면적	1인당공원면적	도시공원면적	1인당도시공원면적	생활권공원면적	1인당생활권공원면적	도시코드
2019	11110	11556.10	71.4	6433.00	39.7	3056.40	18.9	11110
2019	11140	3155.10	23.1	3082.70	22.6	1482.40	10.9	11140
2019	11170	1779.60	7.3	763.1	3.1	1661.20	6.8	11170
2019	11200	3100.00	10	1257.10	4.1	2986.00	9.7	11200
2019	11215	3363.50	9.2	2916.40	7.9	1238.30	3.4	11215
2019	11230	1275.10	3.5	1033.00	2.8	1199.60	3.3	11230
2019	11260	5205.30	12.9	5022.60	12.5	1725.10	4.3	11260
2019	11290	8329.40	18.3	4407.00	9.7	2225.90	4.9	11290
2019	11305	14342.30	45.1	2287.40	7.2	2155.10	6.8	11305
2019	11320	10075.00	30	1163.50	3.5	1319.80	3.9	11320
2019	11350	14344.40	26.7	13848.10	25.8	3061.60	5.7	11350
2019	11380	13991.60	28.9	6223.40	12.8	1265.80	2.6	11380
2019	11410	5143.30	15.9	4904.80	15.2	1672.70	5.2	11410
2019	11440	4440.00	11.5	3126.90	8.1	4321.70	11.2	11440
2019	11470	2912.00	6.3	2489.50	5.4	1891.80	4.1	11470
2019	11500	4370.30	7.3	3285.90	5.5	4239.00	7.1	11500
2019	11530	3336.10	7.6	3014.40	6.9	1441.80	3.3	11530
2019	11545	2206.20	8.8	2042.20	8.1	406.2	1.6	11545
2019	11560	3050.40	7.6	705.6	1.8	2975.30	7.4	11560
2019	11590	4584.20	11.2	4390.20	10.7	3128.00	7.6	11590
2019	11620	10976.90	21.2	10970.40	21.2	1287.00	2.5	11620
2019	11650	16081.00	37	15274.20	35.1	2446.80	5.6	11650
2019	11680	6594.30	12	5304.70	9.6	3566.10	6.5	11680
2019	11710	4644.80	6.8	2037.60	3	4278.40	6.3	11710
2019	11740	3369.80	7.7	2827.50	6.4	2081.50	4.7	11740
